u_11,u_20,u_02,u_21,u_12,u_30,u_03,eta_11,eta_20,eta_02,eta_21,eta_12,eta_30,eta_03,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,caracter
1138.678800857,29519.186295503,48976.346895075,-52470.292252246,-91334.392890059,-104388.323812755,-75928.675036339,0.005221166,0.135353852,0.224570459,-0.011133233,-0.019379481,-0.022149286,-0.016110671,0.359924312,0.008068645,0.001594130,0.002466869,0.000002838,-0.000064018,0.000003985,2
-286.505175983,35477.879917184,43808.426501035,-70516.953855517,-27626.183257677,-137174.718267899,-79762.240354237,-0.001228113,0.152076951,0.187786079,-0.013753895,-0.005388316,-0.026755080,-0.015557131,0.339863030,0.001281175,0.000772875,0.001892334,0.000001162,-0.000010844,-0.000001971,2
-3442.723192020,10352.044887781,38371.206982544,4052.218207598,-9120.105758048,-8887.355327392,-46479.042033319,-0.021409837,0.064377988,0.238625425,0.001258438,-0.002832298,-0.002760016,-0.014434317,0.303003413,0.032195694,0.000364502,0.000204878,0.000000035,0.000018490,0.000000044,2
5432.000000000,4868.000000000,62152.666666667,-5270.148148148,-120412.518518519,4484.000000000,115052.197530866,0.091991397,0.082440007,1.052560868,-0.005725417,-0.130814521,0.004871357,0.124991141,1.135000875,0.974984152,0.178070714,0.030085994,0.000775957,-0.007115546,-0.002060889,2
-8859.260000000,23841.797500000,44320.160000000,23057.213300000,-63525.212800001,-126879.924112500,-90586.435199999,-0.055370375,0.149011234,0.277001000,0.007205379,-0.019851629,-0.039649976,-0.028308261,0.426012234,0.028644894,0.002888651,0.003985773,-0.000013332,-0.000674247,-0.000002274,2
13526.512658228,28820.390295359,95967.613924051,-144792.570528227,-371174.619986113,-87570.172159021,-224841.605191480,0.060204529,0.128275340,0.427137807,-0.029600594,-0.075880890,-0.017902363,-0.045965377,0.555413147,0.103817115,0.045825955,0.014505514,0.000230884,0.000784620,0.000294208,2
-3480.307203390,31234.692796610,73906.692796610,-31372.710329287,-174943.286600473,-131499.494227593,78426.776958848,-0.015621890,0.140201688,0.331741475,-0.006481821,-0.036144505,-0.027168714,0.016203520,0.471943163,0.037663664,0.007874818,0.004103075,-0.000023301,-0.000711235,-0.000001018,2
534.115384615,16228.692307692,43111.408119658,8803.310322157,-6330.430473372,-23064.035502959,-74833.627063700,0.002438616,0.074095498,0.196834174,0.001857939,-0.001336037,-0.004867665,-0.015793637,0.270929672,0.015088570,0.000457307,0.000232690,0.000000021,0.000019956,0.000000073,2
-4888.631578947,15474.421052632,42672.155701754,2400.663204062,67344.200369345,-6699.041551247,-84219.422081795,-0.023510270,0.074419153,0.205217739,0.000540654,0.015166595,-0.001508692,-0.018967066,0.279636892,0.019319201,0.002633705,0.000526071,0.000000451,0.000043678,-0.000000425,2
-9250.492836676,15263.638968481,31131.644699140,33125.137511186,23593.080877826,-21821.307641152,-117214.084892570,-0.075947594,0.125316204,0.255594328,0.014557745,0.010368623,-0.009589969,-0.051512928,0.380910532,0.040044537,0.010716557,0.001366292,0.000004927,0.000186582,0.000001748,2
-9755.517361111,11696.579861111,25314.329861111,8523.161048418,48417.040774500,-10131.249156057,-218463.778187691,-0.117615709,0.141017793,0.305197843,0.006055074,0.034396719,-0.007197502,-0.155202324,0.446215636,0.082288908,0.042241742,0.022984700,0.000715952,0.005439230,0.000018504,2
-1844.522857143,8212.974285714,27204.368571429,-4653.788179592,18871.676538776,-11146.190987755,-70876.851330612,-0.015057329,0.067044688,0.222076478,-0.002030657,0.008234560,-0.004863583,-0.030926752,0.289121166,0.024941749,0.001490989,0.001097554,0.000001185,0.000173324,0.000000753,2
7692.866666667,37183.173333333,43411.333333333,38819.811555556,-12835.528888890,-33224.656355557,-65608.844444445,0.021369074,0.103286593,0.120587037,0.004402256,-0.001455579,-0.003767753,-0.007440194,0.223873630,0.002125855,0.000426656,0.000036512,-0.000000005,0.000001044,0.000000000,2
5168.267111853,47295.445742905,84128.377295493,-148028.391966579,-363395.465464145,-124944.595934794,-141609.922430541,0.014404272,0.131815256,0.234470855,-0.016856910,-0.041382093,-0.014228215,-0.016125999,0.366286111,0.011368104,0.013268420,0.004180379,0.000010350,-0.000100106,0.000029363,2
4483.000000000,17469.391549296,32400.000000000,-30617.377464789,53033.507042253,-25563.936695100,20808.000000000,0.035572307,0.138618461,0.257091847,-0.012894280,0.022334666,-0.010766061,0.008763134,0.395710308,0.019097499,0.008299303,0.000150899,0.000000001,-0.000020634,-0.000000169,2
-6538.454976303,12890.028436019,46985.279620853,21491.325172391,-10163.022663462,-15646.058534174,-103810.888569438,-0.036715567,0.072381732,0.263837737,0.005874651,-0.002778061,-0.004276848,-0.028376693,0.336219470,0.042047533,0.002132521,0.000556114,0.000000412,0.000064099,0.000000444,2
7176.550769231,11836.443076923,46767.427692308,-28331.615176331,-114115.648501775,154.543356213,-108683.405140826,0.067943676,0.112061000,0.442768546,-0.014878630,-0.059928968,0.000081160,-0.057076172,0.554829546,0.127832854,0.032507281,0.008759254,0.000123662,0.001698075,0.000080958,2
-5447.478632479,19586.991452991,46334.946581197,29178.427533055,-23355.088063409,-69790.384688436,32269.154987582,-0.024871606,0.089428517,0.211551915,0.006158107,-0.004929091,-0.014729261,0.006810405,0.300980432,0.017388511,0.000136050,0.000554633,0.000000150,-0.000001293,0.000000026,2
4563.913875598,13399.255980861,34644.440191388,11793.855406240,14768.131910899,22213.851880680,1619.972253383,0.026120704,0.076688125,0.198280947,0.003301529,0.004134137,0.006218465,0.000453489,0.274969072,0.017513979,0.000127564,0.000121277,0.000000007,-0.000007256,0.000000013,2
-3703.107231920,11029.591022444,38847.441396509,954.143519008,-18189.379954104,-7564.003109433,-33679.171895698,-0.023029131,0.068591557,0.241587063,0.000296314,-0.005648810,-0.002349042,-0.010459248,0.310178621,0.032048809,0.000341865,0.000167251,0.000000018,-0.000000685,0.000000035,2
4646.307875895,13465.971360382,35358.940334129,13106.116261584,29102.453648590,20481.185388554,-13409.166101810,0.026465490,0.076702521,0.201405439,0.003647027,0.008098313,0.005699280,-0.003731356,0.278107961,0.018352506,0.000561079,0.000190381,-0.000000050,-0.000023862,0.000000038,2
-1462.948905109,10407.620437956,38200.627737226,2185.082636262,-15794.607277959,10711.995098300,22175.569396344,-0.008660551,0.061612354,0.226144930,0.000638063,-0.004612159,0.003127993,0.006475454,0.287757284,0.027370989,0.000308598,0.000052805,0.000000005,0.000008329,0.000000004,2
-4569.201511335,10973.078085642,43398.261964736,-15529.030353596,-15927.695049141,2321.066170079,56349.056208719,-0.028990740,0.069622154,0.275353958,-0.004945020,-0.005071970,0.000739114,0.017943633,0.344976112,0.045687427,0.001329006,0.000187738,0.000000082,0.000037430,-0.000000046,2
146.746365105,29512.649434572,55376.798061389,-3010.585205696,-15153.231226562,-35151.367858419,-3310.987725788,0.000382989,0.077024148,0.144526186,-0.000315809,-0.001589566,-0.003687361,-0.000347321,0.221550334,0.004557112,0.000001529,0.000028286,-0.000000000,-0.000001845,0.000000000,2
-1949.917431193,10717.266055046,41611.603211009,6189.023524956,-19093.441924080,-3269.709620403,24570.674659118,-0.010257541,0.056378178,0.218897837,0.001559215,-0.004810254,-0.000823745,0.006190146,0.275276015,0.026833508,0.000187439,0.000091795,0.000000011,0.000006392,-0.000000005,2
-245.801801802,26202.099099099,28318.396396396,-43191.513675838,69406.477152828,52231.864783703,-39414.054703352,-0.001246864,0.132913821,0.143649036,-0.010397789,0.016708697,0.012574135,-0.009488415,0.276562858,0.000121464,0.001881254,0.001252945,0.000001301,-0.000002056,-0.000001417,2
-2885.671232877,15986.504566210,38213.671232877,5381.552261212,-43035.922124226,-6218.587268823,-31448.858697692,-0.015041759,0.083330751,0.199191381,0.001340363,-0.010718792,-0.001548840,-0.007832846,0.282522132,0.014328704,0.001077337,0.000192647,-0.000000041,-0.000017345,0.000000078,2
-43.034990792,23191.915285451,67822.224677716,-18963.430610245,-102180.915750096,-18721.151864174,83491.822892395,-0.000145956,0.078656924,0.230023587,-0.002760052,-0.014872029,-0.002724790,0.012151905,0.308680511,0.022911952,0.002172350,0.000397855,-0.000000195,-0.000033422,-0.000000315,2
7312.250000000,16053.250000000,44492.435185185,23517.863425926,58915.446759259,40660.687500000,-19149.075531548,0.039181724,0.086019215,0.238406824,0.006063013,0.015188672,0.010482512,-0.004936719,0.324426039,0.029362813,0.001765653,0.000660278,-0.000000539,-0.000095700,0.000000467,2
-5159.219387755,42658.998299320,39436.698979592,11403.063879633,99776.128227822,-25337.490935490,-117713.254529363,-0.014922079,0.123383192,0.114063292,0.001360123,0.011900997,-0.003022180,-0.014040483,0.237446484,0.000977534,0.001828004,0.000239625,0.000000121,0.000005956,-0.000000102,2
5273.330696203,33731.884493671,56478.998417722,38719.258276919,-20392.296932583,-32253.125445643,-95517.096513981,0.013202338,0.084451321,0.141401114,0.003855976,-0.002030829,-0.003212026,-0.009512363,0.225852435,0.003940486,0.000452676,0.000059482,-0.000000005,0.000001823,0.000000008,2
-1838.615960100,11646.349127182,33601.022443890,4491.798266180,-16253.997717676,-12918.497608846,-72504.096491938,-0.011434108,0.072427094,0.208960283,0.001394952,-0.005047767,-0.004011909,-0.022516538,0.281387377,0.019164267,0.000836872,0.000528199,0.000000239,0.000040952,0.000000257,2
110.395555556,15579.291111111,43295.697777778,-6836.822360494,-4831.971180247,22171.475279012,-11137.405590124,0.000545163,0.076934771,0.213805915,-0.001591560,-0.001124846,0.005161350,-0.002592703,0.290740686,0.018734899,0.000077622,0.000033801,-0.000000001,0.000000129,0.000000001,2
9105.789719626,33522.836448598,78808.443925234,28392.563804700,-96296.556817189,-8530.593676304,-345954.083064027,0.022092637,0.081333732,0.191206520,0.002718736,-0.009220897,-0.000816849,-0.033126907,0.272540252,0.014024368,0.002424995,0.001025413,0.000001502,0.000117498,0.000000600,2
-889.938864629,12595.626637555,43051.615720524,20866.721496539,-22546.775919605,-4735.879769646,-50752.350489120,-0.004242572,0.060046655,0.205238343,0.004648261,-0.005022509,-0.001054962,-0.011305570,0.265284998,0.021152624,0.000833932,0.000081255,-0.000000003,0.000000385,0.000000021,2
-5671.490526316,18138.349473684,43412.429473684,16981.196019945,12465.237114682,-31617.686001108,-83153.377116898,-0.025136800,0.080391577,0.192409660,0.003453300,0.002534933,-0.006429779,-0.016910088,0.272801236,0.015075486,0.000940622,0.000196255,0.000000021,0.000013316,0.000000082,2
2935.992042440,12338.870026525,33296.387267905,877.801356514,-13017.767696952,16869.686524214,-72485.107360215,0.020657234,0.086814584,0.234268779,0.000318085,-0.004717188,0.006112989,-0.026266089,0.321083363,0.023449625,0.001151599,0.000675247,0.000000414,0.000096001,-0.000000428,2
-4464.418439716,11787.763593381,44347.489361702,15099.824975269,-12258.229817413,-3644.526018700,2553.145918213,-0.024950782,0.065879559,0.247849646,0.004103184,-0.003331017,-0.000990353,0.000693785,0.313729205,0.035603279,0.000215975,0.000041685,0.000000004,0.000002858,0.000000001,2
193.872950820,20217.926229508,39617.670081967,35201.035911046,-62363.190657753,-14772.244087611,-106954.670795821,0.000814100,0.084897903,0.166360144,0.006691229,-0.011854378,-0.002807999,-0.020330600,0.251258047,0.006638748,0.002705405,0.000401018,-0.000000088,-0.000001707,0.000000408,2
2144.021582734,10899.482014388,40458.374100719,-7391.712903059,-40911.433724963,-11975.509031624,-86361.839242275,0.012329829,0.062680687,0.232667817,-0.002081637,-0.011521382,-0.003372515,-0.024321018,0.295348505,0.029503723,0.001299663,0.000918928,0.000000884,0.000100184,0.000000477,2
-804.785571142,18600.757515030,42777.851703407,12532.919273417,-28810.984494038,-19288.884438215,-71191.166380858,-0.003232058,0.074701537,0.171797911,0.002253206,-0.005179725,-0.003467814,-0.012798962,0.246499449,0.009469491,0.000528256,0.000185993,0.000000004,0.000002359,0.000000058,2
-4239.478260870,22111.021739130,39768.885375494,171.805121155,-13115.111874893,-8138.234404537,11802.122045336,-0.016558133,0.086359034,0.155325366,0.000029830,-0.002277171,-0.001413038,0.002049197,0.241684400,0.005853042,0.000033200,0.000017940,-0.000000000,-0.000000133,-0.000000000,2
-597.330254042,14736.498845266,40335.547344111,23184.919243262,-1478.311207591,2852.825029735,-37012.469574215,-0.003185948,0.078599272,0.215135540,0.005942728,-0.000378919,0.000731232,-0.009486987,0.293734812,0.018682754,0.000749608,0.000012686,0.000000001,0.000001714,-0.000000000,2
-5475.221294363,25587.194154489,44765.908141962,12617.891348974,4337.324301237,-68427.856834655,-41329.842774395,-0.023863308,0.111519712,0.195108582,0.002512743,0.000863740,-0.013626809,-0.008230476,0.306628294,0.009264929,0.000511676,0.000195588,-0.000000028,-0.000017849,-0.000000055,2
-3908.961538462,11086.528846154,40761.384615385,7610.723742604,-29462.387573963,8899.703864645,31999.739644970,-0.022587842,0.064063245,0.235538696,0.002156218,-0.008347081,0.002521403,0.009065946,0.299601941,0.031444673,0.000766445,0.000159875,0.000000056,0.000021682,0.000000002,2
-498.250000000,12628.000000000,37274.805288462,13102.639423077,5835.191105769,-15724.500000000,-67879.717559634,-0.002879126,0.072970599,0.215391580,0.003712150,0.001653186,-0.004454957,-0.019231214,0.288362179,0.020316893,0.001010828,0.000248691,0.000000084,0.000032682,0.000000093,2
-1278.800000000,13530.000000000,36367.115294118,11228.428235294,-10472.852705882,-5841.600000000,-84094.975490658,-0.007079862,0.074906574,0.201340431,0.003015412,-0.002812501,-0.001568771,-0.022583837,0.276247005,0.016186018,0.001047641,0.000402119,0.000000235,0.000043560,0.000000113,2
248.235154394,11351.971496437,44095.809976247,12694.777658668,-14299.616990425,-2710.440767091,-43137.738807612,0.001400552,0.064048225,0.248790122,0.003490759,-0.003932051,-0.000745306,-0.011861842,0.312838347,0.034137415,0.000620934,0.000091953,0.000000011,0.000009123,0.000000019,2
-6439.830708661,24026.950787402,48635.897637795,24739.980919462,10115.411463822,-67932.207692666,-26459.830553661,-0.024954394,0.093104621,0.188464480,0.004253438,0.001739099,-0.011679290,-0.004549124,0.281569101,0.011584390,0.000585111,0.000098895,0.000000015,-0.000009707,-0.000000018,2
-1743.638157895,14986.980263158,43913.032894737,-9360.748182133,-16981.559643351,-12070.795792936,20986.273286010,-0.008385456,0.072074967,0.211185331,-0.002108135,-0.003824419,-0.002718465,0.004726321,0.283260297,0.019632957,0.000198765,0.000049664,-0.000000005,-0.000004427,-0.000000001,2
2025.558139535,15347.860465116,40732.858350951,7216.940606716,-23476.364963863,-3788.742022715,-38001.478449374,0.009053624,0.068600228,0.182063382,0.001483202,-0.004824785,-0.000778650,-0.007809939,0.250663610,0.013201760,0.000337869,0.000071426,0.000000003,0.000002263,0.000000011,2
-2537.482283465,24514.588582677,36954.903543307,-7184.570393390,73519.431590614,-28262.592124434,-76552.085335420,-0.009832764,0.094994221,0.143200538,-0.001235212,0.012639877,-0.004859065,-0.013161268,0.238194758,0.002710582,0.001919426,0.000267800,0.000000190,0.000011478,-0.000000026,2
-968.002173913,11975.780434783,48894.910869565,6071.201332704,-9049.023620038,-6910.508875236,-10592.416247637,-0.004574679,0.056596316,0.231072358,0.001337766,-0.001993917,-0.001522704,-0.002333998,0.287668673,0.030525600,0.000060171,0.000013359,-0.000000000,-0.000002049,-0.000000000,2
-3816.625000000,15337.265625000,42330.428571429,27953.295200893,21212.053571428,-29107.864746094,-96128.173469388,-0.019016188,0.076417339,0.210909741,0.006580183,0.004993300,-0.006851968,-0.022628494,0.287327080,0.019534668,0.002271766,0.000261003,0.000000137,0.000031905,0.000000147,2
-3250.434316354,9988.176943700,38060.702412869,5662.058406227,-17067.295200857,-8008.239662472,-17083.321967383,-0.023362738,0.071790762,0.273564120,0.002107183,-0.006351739,-0.002980334,-0.006357703,0.345354882,0.042895758,0.000419165,0.000105155,-0.000000018,-0.000017633,0.000000013,2
-1592.400000000,18274.900000000,33115.278048781,-15839.168780488,61221.783414634,21150.120000000,-147034.010898274,-0.009472933,0.108714456,0.196997490,-0.004653425,0.017986486,0.006213742,-0.043197455,0.305711946,0.008152840,0.003134466,0.002875358,0.000008006,0.000194318,-0.000003229,2
1156.249427918,16604.979405034,56884.201372998,-19721.291754159,-166514.929538300,-9206.979122266,-154161.722426150,0.006054645,0.086951177,0.297871389,-0.004940055,-0.041710902,-0.002306288,-0.038616505,0.384822567,0.044633971,0.015652595,0.003834687,0.000016238,0.000037924,0.000024879,2
9495.205882353,26339.058823529,52287.345588235,-24810.830017301,-22473.485942906,7768.302768165,-42537.446204584,0.032085336,0.089002551,0.176684640,-0.003594546,-0.003255916,0.001125457,-0.006162745,0.265687191,0.011806024,0.000140015,0.000099744,0.000000003,0.000010618,-0.000000011,2
-8223.276008493,16889.915074310,50708.602972399,62721.317326373,-9500.633232811,-39883.831807466,-125511.455565021,-0.037068333,0.076135228,0.228580844,0.013027555,-0.001973333,-0.008284086,-0.026069404,0.304716072,0.028735911,0.004250381,0.000275304,-0.000000134,-0.000009945,0.000000266,2
-685.590517241,15817.635775862,41292.060344828,4274.544942776,13531.209980678,-29497.712888303,-21834.861251486,-0.003184409,0.073469251,0.191792046,0.000921711,0.002917707,-0.006360531,-0.004708206,0.265261297,0.014040846,0.000284273,0.000026191,-0.000000002,0.000000128,-0.000000000,2
-2476.182464455,13789.879146919,45253.528436019,26921.630286830,-6345.253947575,1987.195390939,-39278.366591047,-0.013904576,0.077434689,0.254113387,0.007359024,-0.001734474,0.000543200,-0.010736736,0.331548076,0.031988711,0.001109770,0.000012828,0.000000001,0.000001541,0.000000001,2
-736.685039370,15036.173228346,37433.784776903,-20217.319879306,-4582.096988861,-37559.937875876,15213.692741164,-0.005074952,0.103582734,0.257877700,-0.007135282,-0.001617156,-0.013255998,0.005369356,0.361460434,0.023909957,0.000787548,0.000224329,0.000000058,-0.000034184,0.000000075,2
772.549222798,10568.520725389,37341.554404145,4083.633923058,-12466.581867970,-4245.453837687,-38804.150071142,0.005185033,0.070931574,0.250621187,0.001395014,-0.004258720,-0.001450293,-0.013255921,0.321552761,0.032395896,0.000432462,0.000173274,0.000000034,0.000020827,0.000000033,2
277.590909091,25702.355371901,43020.750000000,-26300.868519910,17324.902892562,38059.425312479,-163238.488636363,0.001184990,0.109719091,0.183648444,-0.005103366,0.003361688,0.007384971,-0.031674456,0.293367535,0.005471166,0.000275083,0.001468099,0.000000720,0.000089586,-0.000000593,2
-1190.510638298,14004.374468085,44279.287234043,8919.192575826,-28706.820823902,-7479.413562698,41015.157990041,-0.005389365,0.063396897,0.200449467,0.001862434,-0.005994327,-0.001561791,0.008564455,0.263846364,0.018899588,0.000278519,0.000165815,0.000000031,0.000008774,-0.000000017,2
-2689.850467290,26186.680373832,49835.813084112,16297.517023321,-12179.366372609,18847.828624334,-1049.464931435,-0.009397678,0.091489843,0.174114117,0.002461711,-0.001839671,0.002846931,-0.000158520,0.265603960,0.007180036,0.000126896,0.000006319,-0.000000000,0.000000267,-0.000000000,2
-6035.982371795,30675.152243590,57890.959935897,-6752.044034558,-5050.033371343,-25921.800753000,162.609934870,-0.015501681,0.078780285,0.148676241,-0.000694183,-0.000519198,-0.002665040,0.000016718,0.227456526,0.005846653,0.000005633,0.000010598,0.000000000,-0.000000810,0.000000000,2
-1730.058947368,20687.781052632,41085.061052632,-21180.263986703,477.463339612,-25006.880070915,44892.148308034,-0.007667851,0.091690996,0.182094453,-0.004307223,0.000097097,-0.005085404,0.009129277,0.273785450,0.008407969,0.000515153,0.000048135,-0.000000007,0.000000590,-0.000000004,2
379.982683983,14057.134199134,41117.179653680,9869.529637750,-972.422480838,1920.360675400,-1495.841869530,0.001780245,0.065858652,0.192636849,0.002151253,-0.000211958,0.000418579,-0.000326047,0.258495502,0.016085388,0.000047078,0.000003374,-0.000000000,0.000000420,-0.000000000,2
3336.835543767,10989.061007958,34252.095490716,13774.430362558,29358.787418472,25177.587290419,-73126.227553841,0.023477514,0.077317514,0.240993010,0.004991376,0.010638606,0.009123484,-0.026498409,0.318310524,0.028994442,0.002239462,0.000853093,-0.000000183,-0.000028127,-0.000001165,2
-6628.060669456,21972.152719665,50936.161087866,-17263.349066018,-4005.709441361,-19951.698289596,-3195.598203813,-0.029008861,0.096164951,0.222930976,-0.003455853,-0.000801881,-0.003994019,-0.000639709,0.319095927,0.019435681,0.000097154,0.000039774,0.000000002,-0.000003069,-0.000000002,2
1540.363636364,12333.272727273,42231.766899767,5627.998728544,-40967.712650986,-11094.892561983,-59911.588059183,0.008369677,0.067013724,0.229469341,0.001476423,-0.010747278,-0.002910582,-0.015716926,0.296483064,0.026672033,0.001266191,0.000389329,0.000000067,0.000009152,0.000000265,2
3402.406374502,25446.494023904,44798.366533865,-18439.335121665,35698.628910653,5645.113728353,-95419.323693275,0.013501398,0.100976548,0.177768474,-0.003265773,0.006322550,0.000999801,-0.016899624,0.278745022,0.006626151,0.000373286,0.000460260,0.000000189,0.000019135,0.000000028,2
-1065.535117057,37176.563545151,50843.979933110,39720.435699825,-113158.402724802,1465.765819175,20824.670014877,-0.002979651,0.103960145,0.142179562,0.004542146,-0.012939987,0.000167615,0.002381361,0.246139706,0.001496237,0.001646483,0.000211068,0.000000025,-0.000003349,-0.000000122,2
264.598086124,12873.760765550,38897.004784689,15391.348938898,-14960.700098441,-331.463977473,-40023.917218014,0.001514377,0.073680552,0.222619702,0.004308598,-0.004188044,-0.000092789,-0.011204149,0.296300254,0.022192044,0.000737789,0.000065874,0.000000005,0.000004531,0.000000013,2
-3976.642857143,12123.857142857,43265.107142857,26706.477040816,-15125.460459183,-8633.005102041,-115215.036352040,-0.019813471,0.060406654,0.215566741,0.006286683,-0.003560521,-0.002032202,-0.027121526,0.275973395,0.025644947,0.002189117,0.000465369,0.000000387,0.000053265,0.000000266,2
-2773.098850575,17338.170114943,47262.611494253,-6419.908606157,-47119.331578808,-23306.934400845,-45939.206362795,-0.014655034,0.091627270,0.249769383,-0.001626693,-0.011939221,-0.005905573,-0.011640197,0.341396653,0.025868008,0.000940432,0.000494447,0.000000042,-0.000036402,0.000000335,2
37.714285714,9349.833766234,36448.571428571,11294.595918368,-18495.332096475,-10338.074724237,-66119.387755102,0.000254439,0.063078656,0.245900296,0.003883460,-0.006359315,-0.003554576,-0.022734060,0.308978952,0.033424011,0.001423265,0.000453630,0.000000188,0.000047186,0.000000312,2
-2496.644986450,10748.249322493,36333.972899729,-1558.024750112,-27509.399504998,-15373.591762693,-16466.068595267,-0.018335977,0.078937797,0.266845667,-0.000595674,-0.010517565,-0.005877727,-0.006295410,0.345783464,0.036654200,0.000679530,0.000316293,-0.000000077,-0.000049874,0.000000125,2
-655.094562648,12445.536643026,37255.082742317,9202.297039608,-11112.608313913,-285.742378262,-61342.804900268,-0.003661198,0.069555727,0.208211541,0.002500606,-0.003019709,-0.000077647,-0.016669121,0.277767267,0.019279052,0.000664901,0.000210340,0.000000075,0.000025862,0.000000022,2
-11610.994966443,38040.971476510,69226.528523490,-38693.937069277,70810.278866944,6259.330193460,-156192.386756226,-0.032687140,0.107092506,0.194885727,-0.004461976,0.008165460,0.000721792,-0.018011265,0.301978233,0.011981446,0.000586625,0.000584030,0.000000331,0.000063519,0.000000084,2
-3084.216216216,17200.162162162,48607.621621622,15225.035792549,6439.988312636,-18064.303871439,1503.168736303,-0.011494373,0.064102213,0.181152717,0.002493067,0.001054534,-0.002957991,0.000246141,0.245254930,0.014229303,0.000089791,0.000011126,-0.000000000,0.000000694,0.000000000,2
-4284.796052632,14287.839912281,43803.822368421,11852.841268467,-11968.944800323,-4210.589844952,-55501.536617036,-0.020606321,0.068712680,0.210660118,0.002669380,-0.002695527,-0.000948267,-0.012499507,0.279372799,0.021847557,0.000471519,0.000109909,0.000000019,0.000008880,0.000000017,2
-4506.913636364,14220.797727273,43365.918181818,12218.340971074,-23344.223264463,-6826.392489669,-47197.901404959,-0.023279513,0.073454534,0.223997511,0.003008712,-0.005748410,-0.001680968,-0.011622271,0.297452045,0.024830931,0.000668603,0.000129389,0.000000003,-0.000003099,0.000000038,2
-8121.280155642,28594.857976654,49622.132295720,-26610.786506987,10279.414207635,34167.654786598,-57431.726294115,-0.030739603,0.108233501,0.187823178,-0.004442730,0.001716171,0.005704366,-0.009588354,0.296056679,0.010114209,0.000014295,0.000251936,-0.000000004,0.000024089,0.000000015,2
-5217.707379135,12695.837150127,39131.989821883,23379.037280915,-25816.473716243,-21059.543836477,15430.564989091,-0.033782720,0.082200837,0.253365123,0.007635637,-0.008431708,-0.006878086,0.005039651,0.335565960,0.033862301,0.000658426,0.000395053,0.000000193,0.000013604,-0.000000059,2
4057.982318271,21819.948919450,38146.801571709,-15644.935850179,65804.441580046,30562.011123934,-35511.625368127,0.015662987,0.084220568,0.147238900,-0.002676574,0.011257987,0.005228625,-0.006075417,0.231459468,0.004952627,0.000818656,0.000348406,-0.000000007,-0.000021342,-0.000000186,2
