u_11,u_20,u_02,u_21,u_12,u_30,u_03,eta_11,eta_20,eta_02,eta_21,eta_12,eta_30,eta_03,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,caracter
4848.507462687,19997.326492537,79870.537313433,-43713.409111161,-124616.094063266,-28005.855236412,22910.899086656,0.016876349,0.069605308,0.278007829,-0.006572078,-0.018735365,-0.004210531,0.003444531,0.347613137,0.044570856,0.003239960,0.000536296,-0.000000479,-0.000102844,0.000000519,2
4106.232558140,11470.598006645,22985.534883721,-23331.425635479,58280.837981921,-32697.241619850,34107.971876690,0.045322155,0.126605645,0.253700675,-0.014843114,0.037077424,-0.020801511,0.021698997,0.380306320,0.024369538,0.021819113,0.000311908,-0.000000606,-0.000007465,0.000000543,2
11571.496503497,24854.825174825,48335.403263403,-46426.054998614,-53382.461799273,-70742.927086900,49870.623708848,0.062874558,0.135050479,0.262633887,-0.012179194,-0.014004105,-0.018558369,0.013082826,0.397684366,0.032090366,0.003012273,0.001061131,-0.000000951,-0.000142575,0.000001642,2
-2592.079155673,9293.815303430,31976.823218997,-464.634985833,22446.931029441,-9832.813207928,1003.500407265,-0.018045538,0.064701689,0.222616267,-0.000166155,0.008027105,-0.003516250,0.000358855,0.287317956,0.026239580,0.000762361,0.000020385,-0.000000003,-0.000003270,0.000000000,2
-8073.003960396,31900.740594059,48293.893069307,-17479.620001961,8945.717372807,-48300.669534359,-670.393310459,-0.031655736,0.125088680,0.189369250,-0.003050026,0.001560942,-0.008428003,-0.000116977,0.314457930,0.008140334,0.000253491,0.000057186,0.000000005,-0.000005140,-0.000000004,2
-10176.445783133,33485.825301205,41549.759036145,47009.554652344,107749.644650892,-162420.611844970,-60609.962839311,-0.041033394,0.135021311,0.167536649,0.008494010,0.019468948,-0.029347275,-0.010951426,0.302557960,0.007792205,0.009028182,0.000103620,0.000000043,-0.000006961,-0.000000090,2
-3066.668122271,16957.757641921,38936.698689956,8774.199729220,20992.719494289,-13992.334604603,-56426.623634179,-0.014619611,0.080842078,0.185621454,0.001954537,0.004676328,-0.003116926,-0.012569569,0.266463532,0.011833650,0.000633764,0.000115111,0.000000030,0.000012520,0.000000010,2
7058.702020202,22328.292929293,62275.906565657,-58753.511376389,-261005.775609631,-75010.109172533,-164887.824392919,0.045012639,0.142385298,0.397127248,-0.018827639,-0.083639640,-0.024037087,-0.052838517,0.539512547,0.072998012,0.051488647,0.016730315,0.000100915,-0.000255774,0.000480553,2
-3938.176366843,40033.622574956,62116.627865961,62038.888129920,26058.168627854,-184528.575733541,-75447.453648493,-0.012249801,0.124525637,0.193215407,0.008104129,0.003403974,-0.024104936,-0.009855688,0.317741044,0.005318515,0.002345104,0.000431598,0.000000221,-0.000031002,-0.000000374,2
-2928.505543237,14944.798226164,36073.920177384,32092.630645867,-20033.574131887,-25759.890610174,-125837.758408265,-0.014397695,0.073474556,0.177353701,0.007429575,-0.004637854,-0.005963520,-0.029131954,0.250828257,0.011620051,0.002707289,0.000583382,0.000000259,0.000024001,0.000000686,2
